The Lemon Song,Led Zeppelin,Led Zeppelin II
Put Your Lights On,Santana,All Time Best
Godfather Theme,Guns N' Roses,
For Those About To Rock,ACDC,
AmiraThe Next Episode,"l General Aladeen, Aiwa & Mr Tibbz",The Dictator Offical Soundtrack
Breathing Lightning,Anthrax,Breathing Lightning
Arctic Monkeys - 505,Arctic Monkeys,
There’d Better Be A Mirrorball,Arctic Monkeys,There’d Better Be A Mirrorball
Getaway Car,Audioslave,
Baby Jane,od Steward,e Story So Far - The Very Be
Bad,Michael Jackson,Bad 25th Anniversary (Deluxe Edition)
Billie Jean,Michael Jackson,Thriller
could you be loved,Bob Marley,Legends
Everythings Gonna Be Alright,Bob Marly,Legend: The Best of Bob Marley and the Wailers
"""The Song Of The White Wolf"" METAL COVER",Dan Vasc,Dan Vasc
